City,Has Table booking,Has Online delivery,Aggregate rating,Rating text
Sí£o Paulo,No,No,4.4,Very Good
Sí£o Paulo,No,No,4.6,Excellent
Sí£o Paulo,No,No,4.1,Very Good
Albany,No,No,3.3,Average
Albany,No,No,3.3,Average
Albany,No,No,3.4,Average
Albany,No,No,3.4,Average
Albany,No,No,3.4,Average
Albany,No,No,3.4,Average
Albany,No,No,3.5,Good
Albany,No,No,3.9,Good
Albany,No,No,3.7,Good
Albany,No,No,3.5,Good
Albany,No,No,3.6,Good
Albany,No,No,3.8,Good
Albany,No,No,3.9,Good
Albany,No,No,3.5,Good
Albany,No,No,3.5,Good
Albany,No,No,3.6,Good
Albany,No,No,3.5,Good
Albany,No,No,3.8,Good
Albany,No,No,3.7,Good
Albany,No,No,3.4,Average
Armidale,No,No,3.5,Good
Athens,No,No,4.5,Excellent
Athens,No,No,4.5,Excellent
Athens,No,No,4.6,Excellent
Athens,No,No,3.9,Good
Athens,No,No,3.7,Good
Athens,No,No,4.3,Very Good
Athens,No,No,4.2,Very Good
Athens,No,No,4,Very Good
Athens,No,No,4.1,Very Good
Athens,No,No,4.3,Very Good
Athens,No,No,4.2,Very Good
Athens,No,No,4.1,Very Good
Athens,No,No,4.1,Very Good
Athens,No,No,4.2,Very Good
Athens,No,No,4.1,Very Good
Athens,No,No,4.1,Very Good
Athens,No,No,4.4,Very Good
Athens,No,No,4.4,Very Good
Athens,No,No,4.2,Very Good
Athens,No,No,4.1,Very Good
Augusta,No,No,4.6,Excellent
Augusta,No,No,4.9,Excellent
Augusta,No,No,4.5,Excellent
Augusta,No,No,3.9,Good
Augusta,No,No,3.9,Good
Augusta,No,No,3.8,Good
Augusta,No,No,3.5,Good
Augusta,No,No,4.3,Very Good
Augusta,No,No,4.1,Very Good
Augusta,No,No,4.4,Very Good
Augusta,No,No,4,Very Good
Augusta,No,No,4,Very Good
Augusta,No,No,4.2,Very Good
Augusta,No,No,4,Very Good
Augusta,No,No,4,Very Good
Augusta,No,No,3.9,Good
Augusta,No,No,4.1,Very Good
Augusta,No,No,4,Very Good
Augusta,No,No,4.3,Very Good
Augusta,No,No,4.2,Very Good
Balingup,No,No,3.2,Average
Beechworth,No,No,4.6,Excellent
Boise,No,No,4.5,Excellent
Boise,No,No,4.6,Excellent
Boise,No,No,4.5,Excellent
Boise,No,No,3.9,Good
Boise,No,No,4.3,Very Good
Boise,No,No,4.1,Very Good
Boise,No,No,4.2,Very Good
Boise,No,No,4.3,Very Good
Boise,No,No,4.4,Very Good
Boise,No,No,4.1,Very Good
Boise,No,No,4.4,Very Good
Boise,No,No,4.3,Very Good
Boise,No,No,4.4,Very Good
Boise,No,No,4.4,Very Good
Boise,No,No,4,Very Good
Boise,No,No,4.1,Very Good
Boise,No,No,4.3,Very Good
Boise,No,No,4,Very Good
Boise,No,No,4,Very Good
Boise,No,No,4.4,Very Good
Cedar Rapids/Iowa City,No,No,3.7,Good
Cedar Rapids/Iowa City,No,No,4.1,Very Good
Cedar Rapids/Iowa City,No,No,4.1,Very Good
Cedar Rapids/Iowa City,No,No,4.1,Very Good
Cedar Rapids/Iowa City,No,No,4.4,Very Good
Cedar Rapids/Iowa City,No,No,4.2,Very Good
Cedar Rapids/Iowa City,No,No,4.2,Very Good
Cedar Rapids/Iowa City,No,No,4.2,Very Good
Cedar Rapids/Iowa City,No,No,3.8,Good
Cedar Rapids/Iowa City,No,No,4.1,Very Good
Cedar Rapids/Iowa City,No,No,4.9,Excellent
Cedar Rapids/Iowa City,No,No,4.5,Excellent
Cedar Rapids/Iowa City,No,No,3.6,Good
Cedar Rapids/Iowa City,No,No,3.8,Good
Cedar Rapids/Iowa City,No,No,4.3,Very Good
Cedar Rapids/Iowa City,No,No,4.3,Very Good
Cedar Rapids/Iowa City,No,No,4.1,Very Good
Cedar Rapids/Iowa City,No,No,4,Very Good
Cedar Rapids/Iowa City,No,No,4.2,Very Good
Cedar Rapids/Iowa City,No,No,4.7,Excellent
Chatham-Kent,No,No,3.7,Good
Clatskanie,No,No,4.3,Very Good
Cochrane,No,No,3.1,Average
Columbus,No,No,3.3,Average
Columbus,No,No,4.6,Excellent
Columbus,No,No,4.5,Excellent
Columbus,No,No,3.8,Good
Columbus,No,No,3.9,Good
Columbus,No,No,3.9,Good
Columbus,No,No,3.7,Good
Columbus,No,No,3.6,Good
Columbus,No,No,3.7,Good
Columbus,No,No,4.2,Very Good
Columbus,No,No,4.3,Very Good
Columbus,No,No,4,Very Good
Columbus,No,No,4,Very Good
Columbus,No,No,4,Very Good
Columbus,No,No,4.1,Very Good
Columbus,No,No,4.1,Very Good
Columbus,No,No,4.2,Very Good
Columbus,No,No,4.3,Very Good
Columbus,No,No,4,Very Good
Columbus,No,No,4.4,Very Good
Consort,No,No,3,Average
Dalton,No,No,3.7,Good
Dalton,No,No,4.4,Very Good
Dalton,No,No,4.4,Very Good
Dalton,No,No,3.9,Good
Dalton,No,No,4.9,Excellent
Dalton,No,No,3.8,Good
Dalton,No,No,3.8,Good
Dalton,No,No,3.8,Good
Dalton,No,No,3.7,Good
Dalton,No,No,4.1,Very Good
Dalton,No,No,4.1,Very Good
Dalton,No,No,4.1,Very Good
Dalton,No,No,4.6,Excellent
Dalton,No,No,4.3,Very Good
Dalton,No,No,4.2,Very Good
Dalton,No,No,3.7,Good
Dalton,No,No,4.1,Very Good
Dalton,No,No,4.3,Very Good
Dalton,No,No,4.2,Very Good
Dalton,No,No,4.1,Very Good
Davenport,No,No,4.6,Excellent
Davenport,No,No,4.5,Excellent
Davenport,No,No,3.9,Good
Davenport,No,No,4,Very Good
Davenport,No,No,4.1,Very Good
Davenport,No,No,3.4,Average
Davenport,No,No,4.9,Excellent
Davenport,No,No,3.9,Good
Davenport,No,No,3.7,Good
Davenport,No,No,0,Not rated
Davenport,No,No,0,Not rated
Davenport,No,No,4.3,Very Good
Davenport,No,No,4,Very Good
Davenport,No,No,4.1,Very Good
Davenport,No,No,4.3,Very Good
Davenport,No,No,4,Very Good
Davenport,No,No,4.1,Very Good
Davenport,No,No,4.1,Very Good
Davenport,No,No,4.2,Very Good
Davenport,No,No,4.2,Very Good
Des Moines,No,No,4.5,Excellent
Des Moines,No,No,4.9,Excellent
Des Moines,No,No,4.5,Excellent
Des Moines,No,No,4.1,Very Good
Des Moines,No,No,4,Very Good
Des Moines,No,No,3.2,Average
Des Moines,No,No,4.5,Excellent
Des Moines,No,No,4.6,Excellent
Des Moines,No,No,4.4,Very Good
Des Moines,No,No,4.2,Very Good
Des Moines,No,No,4.3,Very Good
Des Moines,No,No,4.8,Excellent
Des Moines,No,No,4.2,Very Good
Des Moines,No,No,4.1,Very Good
Des Moines,No,No,4.1,Very Good
Des Moines,No,No,4,Very Good
Des Moines,No,No,4.3,Very Good
Des Moines,No,No,3.8,Good
Des Moines,No,No,4,Very Good
Des Moines,No,No,4.2,Very Good
Dicky Beach,No,No,3.6,Good
Dubuque,No,No,3.4,Average
Dubuque,No,No,3.3,Average
Dubuque,No,No,3.4,Average
Dubuque,No,No,3.3,Average
Dubuque,No,No,3.4,Average
Dubuque,No,No,3.5,Good
Dubuque,No,No,3.6,Good
Dubuque,No,No,3.5,Good
Dubuque,No,No,3.6,Good
Dubuque,No,No,3.7,Good
Dubuque,No,No,3.6,Good
Dubuque,No,No,3.8,Good
Dubuque,No,No,3.5,Good
Dubuque,No,No,3.5,Good
Dubuque,No,No,3.6,Good
Dubuque,No,No,3.6,Good
Dubuque,No,No,3.6,Good
Dubuque,No,No,3.5,Good
Dubuque,No,No,3.7,Good
Dubuque,No,No,3.6,Good
East Ballina,No,No,4.1,Very Good
Fernley,No,No,3.7,Good
Flaxton,No,No,3.5,Good
Forrest,No,No,3.7,Good
Gainesville,No,No,4.4,Very Good
Gainesville,No,No,4.1,Very Good
Gainesville,No,No,3.8,Good
Gainesville,No,No,3.9,Good
Gainesville,No,No,3.9,Good
Gainesville,No,No,4.4,Very Good
Gainesville,No,No,4.1,Very Good
Gainesville,No,No,3.8,Good
Gainesville,No,No,4.3,Very Good
Gainesville,No,No,4.1,Very Good
Gainesville,No,No,4.9,Excellent
Gainesville,No,No,4.6,Excellent
Gainesville,No,No,3.8,Good
Gainesville,No,No,4.2,Very Good
Gainesville,No,No,4.3,Very Good
Gainesville,No,No,4.2,Very Good
Gainesville,No,No,3.8,Good
Gainesville,No,No,3.9,Good
Gainesville,No,No,2.2,Poor
Gainesville,No,No,4,Very Good
Hepburn Springs,No,No,3.8,Good
Hepburn Springs,No,No,3.8,Good
Huskisson,No,No,4.1,Very Good
Inverloch,No,No,3.7,Good
Lakes Entrance,No,No,3.8,Good
Lakeview,No,No,3.6,Good
Lincoln,No,No,4.5,Excellent
Lorn,No,No,3.6,Good
Macedon,No,No,3.5,Good
Macon,No,No,3.9,Good
Macon,No,No,4.9,Excellent
Macon,No,No,4.6,Excellent
Macon,No,No,4.5,Excellent
Macon,No,No,4.5,Excellent
Macon,No,No,3.8,Good
Macon,No,No,4.1,Very Good
Macon,No,No,4,Very Good
Macon,No,No,4.3,Very Good
Macon,No,No,4.2,Very Good
Macon,No,No,4.2,Very Good
Macon,No,No,3.7,Good
Macon,No,No,3.7,Good
Macon,No,No,3.7,Good
Macon,No,No,3.8,Good
Macon,No,No,4.1,Very Good
Macon,No,No,4,Very Good
Macon,No,No,4.2,Very Good
Macon,No,No,4,Very Good
Macon,No,No,4.1,Very Good
Mayfield,No,No,2.9,Average
Mc Millan,No,No,2.4,Poor
Middleton Beach,No,No,3.8,Good
Miller,No,No,3.4,Average
Monroe,No,No,3.6,Good
Montville,No,No,2.4,Poor
Ojo Caliente,No,No,3.6,Good
Orlando,No,No,4.4,Very Good
Orlando,No,No,4.5,Excellent
Orlando,No,No,4.7,Excellent
Orlando,No,No,4.3,Very Good
Orlando,No,No,4.6,Excellent
Orlando,No,No,4.6,Excellent
Orlando,No,No,4.3,Very Good
Orlando,No,No,4.4,Very Good
Orlando,No,No,4.6,Excellent
Orlando,No,No,4.4,Very Good
Orlando,No,No,4.4,Very Good
Orlando,No,No,4.8,Excellent
Orlando,No,No,4.9,Excellent
Orlando,No,No,4.9,Excellent
Orlando,No,No,4.7,Excellent
Orlando,No,No,3.6,Good
Orlando,No,No,4.2,Very Good
Orlando,No,No,4.4,Very Good
Orlando,No,No,4.4,Very Good
Orlando,No,No,4.4,Very Good
Palm Cove,No,No,4.4,Very Good
Paynesville,No,No,2.6,Average
Penola,No,No,3.4,Average
Pensacola,No,No,4.2,Very Good
Pensacola,No,No,4.9,Excellent
Pensacola,No,No,4.6,Excellent
Pensacola,No,No,4.5,Excellent
Pensacola,No,No,3.7,Good
Pensacola,No,No,3.9,Good
Pensacola,No,No,3.7,Good
Pensacola,No,No,4.2,Very Good
Pensacola,No,No,4.1,Very Good
Pensacola,No,No,4.4,Very Good
Pensacola,No,No,4.3,Very Good
Pensacola,No,No,4,Very Good
Pensacola,No,No,4.1,Very Good
Pensacola,No,No,3.9,Good
Pensacola,No,No,3.5,Good
Pensacola,No,No,4.2,Very Good
Pensacola,No,No,4.4,Very Good
Pensacola,No,No,4.3,Very Good
Pensacola,No,No,4.7,Excellent
Pensacola,No,No,4.4,Very Good
Phillip Island,No,No,3.7,Good
Pocatello,No,No,3.7,Good
Pocatello,No,No,3.5,Good
Pocatello,No,No,3.6,Good
Pocatello,No,No,3.6,Good
Pocatello,No,No,3.7,Good
Pocatello,No,No,3.6,Good
Pocatello,No,No,3.5,Good
Pocatello,No,No,3.8,Good
Pocatello,No,No,3.8,Good
Pocatello,No,No,3.7,Good
Pocatello,No,No,3.5,Good
Pocatello,No,No,3.7,Good
Pocatello,No,No,3.6,Good
Pocatello,No,No,3.6,Good
Pocatello,No,No,3.6,Good
Pocatello,No,No,3.8,Good
Pocatello,No,No,3.7,Good
Pocatello,No,No,3.6,Good
Pocatello,No,No,0,Not rated
Pocatello,No,No,4.1,Very Good
Potrero,No,No,3.3,Average
Princeton,No,No,4,Very Good
Rest of Hawaii,No,No,4.5,Excellent
Rest of Hawaii,No,No,4.7,Excellent
Rest of Hawaii,No,No,4.7,Excellent
Rest of Hawaii,No,No,4.5,Excellent
Rest of Hawaii,No,No,4.5,Excellent
Rest of Hawaii,No,No,4.2,Very Good
Rest of Hawaii,No,No,4.2,Very Good
Rest of Hawaii,No,No,4.6,Excellent
Rest of Hawaii,No,No,4.2,Very Good
Rest of Hawaii,No,No,4.4,Very Good
Rest of Hawaii,No,No,4.3,Very Good
Rest of Hawaii,No,No,4.3,Very Good
Rest of Hawaii,No,No,4.9,Excellent
Rest of Hawaii,No,No,4.9,Excellent
Rest of Hawaii,No,No,4.6,Excellent
Rest of Hawaii,No,No,3.9,Good
Rest of Hawaii,No,No,4.4,Very Good
Rest of Hawaii,No,No,4,Very Good
Rest of Hawaii,No,No,4.2,Very Good
Rest of Hawaii,No,No,4.2,Very Good
Savannah,No,No,3.3,Average
Savannah,No,No,4.7,Excellent
Savannah,No,No,4.6,Excellent
Savannah,No,No,4.5,Excellent
Savannah,No,No,4.5,Excellent
Savannah,No,No,3.7,Good
Savannah,No,No,3.8,Good
Savannah,No,No,4.1,Very Good
Savannah,No,No,4.4,Very Good
Savannah,No,No,4.2,Very Good
Savannah,No,No,4.1,Very Good
Savannah,No,No,4.1,Very Good
Savannah,No,No,4.3,Very Good
Savannah,No,No,4.3,Very Good
Savannah,No,No,4,Very Good
Savannah,No,No,4.3,Very Good
Savannah,No,No,4.4,Very Good
Savannah,No,No,4.1,Very Good
Savannah,No,No,3.8,Good
Savannah,No,No,3.9,Good
Singapore,No,No,3.4,Average
Singapore,No,No,4,Very Good
Singapore,No,No,3.8,Good
Singapore,No,No,3.1,Average
Singapore,No,No,3.8,Good
Singapore,No,No,3.9,Good
Singapore,No,No,4.2,Very Good
Singapore,No,No,4.1,Very Good
Singapore,No,No,3.2,Average
Singapore,No,No,3.2,Average
Singapore,No,No,3.7,Good
Singapore,No,No,3,Average
Singapore,No,No,3.8,Good
Singapore,No,No,3.9,Good
Singapore,No,No,3.1,Average
Singapore,No,No,3.2,Average
Singapore,No,No,3.2,Average
Singapore,No,No,3.8,Good
Singapore,No,No,3.9,Good
Singapore,No,No,3.2,Average
Sioux City,No,No,3.7,Good
Sioux City,No,No,3.6,Good
Sioux City,No,No,3.8,Good
Sioux City,No,No,3.6,Good
Sioux City,No,No,3.7,Good
Sioux City,No,No,3.6,Good
Sioux City,No,No,3.8,Good
Sioux City,No,No,3.8,Good
Sioux City,No,No,3.7,Good
Sioux City,No,No,3.9,Good
Sioux City,No,No,3.7,Good
Sioux City,No,No,3.8,Good
Sioux City,No,No,3.7,Good
Sioux City,No,No,3.7,Good
Sioux City,No,No,3.8,Good
Sioux City,No,No,3.9,Good
Sioux City,No,No,4,Very Good
Sioux City,No,No,4,Very Good
Sioux City,No,No,4,Very Good
Sioux City,No,No,3.5,Good
Tampa Bay,No,No,4.6,Excellent
Tampa Bay,No,No,4.6,Excellent
Tampa Bay,No,No,4.1,Very Good
Tampa Bay,No,No,4.1,Very Good
Tampa Bay,No,No,4.1,Very Good
Tampa Bay,No,No,4.7,Excellent
Tampa Bay,No,No,3.9,Good
Tampa Bay,No,No,3.9,Good
Tampa Bay,No,No,4.4,Very Good
Tampa Bay,No,No,4.4,Very Good
Tampa Bay,No,No,4.2,Very Good
Tampa Bay,No,No,4.9,Excellent
Tampa Bay,No,No,4.5,Excellent
Tampa Bay,No,No,4.9,Excellent
Tampa Bay,No,No,4.5,Excellent
Tampa Bay,No,No,4.7,Excellent
Tampa Bay,No,No,4.8,Excellent
Tampa Bay,No,No,4.5,Excellent
Tampa Bay,No,No,4,Very Good
Tampa Bay,No,No,4.4,Very Good
Tanunda,No,No,4.4,Very Good
Trentham East,No,No,4.1,Very Good
Valdosta,No,No,3.4,Average
Valdosta,No,No,3.1,Average
Valdosta,No,No,3.9,Good
Valdosta,No,No,3.7,Good
Valdosta,No,No,3.8,Good
Valdosta,No,No,3.7,Good
Valdosta,No,No,3.8,Good
Valdosta,No,No,3.7,Good
Valdosta,No,No,3.7,Good
Valdosta,No,No,3.7,Good
Valdosta,No,No,3.9,Good
Valdosta,No,No,3.8,Good
Valdosta,No,No,3.5,Good
Valdosta,No,No,3.9,Good
Valdosta,No,No,3.7,Good
Valdosta,No,No,3.5,Good
Valdosta,No,No,3.8,Good
Valdosta,No,No,3.8,Good
Valdosta,No,No,3.8,Good
Valdosta,No,No,4.1,Very Good
Vernonia,No,No,4.3,Very Good
Victor Harbor,No,No,3.6,Good
Vineland Station,No,No,4.3,Very Good
Waterloo,No,No,3.2,Average
Waterloo,No,No,3.7,Good
Waterloo,No,No,3.9,Good
Waterloo,No,No,3.8,Good
Waterloo,No,No,3.7,Good
Waterloo,No,No,3.6,Good
Waterloo,No,No,3.6,Good
Waterloo,No,No,3.6,Good
Waterloo,No,No,3.8,Good
Waterloo,No,No,3.7,Good
Waterloo,No,No,3.6,Good
Waterloo,No,No,3.6,Good
Waterloo,No,No,3.6,Good
Waterloo,No,No,3.6,Good
Waterloo,No,No,3.6,Good
Waterloo,No,No,3.7,Good
Waterloo,No,No,3.6,Good
Waterloo,No,No,3.7,Good
Waterloo,No,No,3.5,Good
Waterloo,No,No,3.9,Good
Weirton,No,No,3.9,Good
Winchester Bay,No,No,3.2,Average
Yorkton,No,No,3.3,Average
Abu Dhabi,No,No,4.6,Excellent
Abu Dhabi,No,Yes,4.6,Excellent
Abu Dhabi,Yes,Yes,4.4,Very Good
Abu Dhabi,No,No,4.3,Very Good
Abu Dhabi,No,No,4.2,Very Good
Abu Dhabi,No,No,4.6,Excellent
Abu Dhabi,No,No,4.1,Very Good
Abu Dhabi,Yes,Yes,4.4,Very Good
Abu Dhabi,Yes,Yes,4,Very Good
Abu Dhabi,No,Yes,3.6,Good
Abu Dhabi,No,Yes,4.5,Excellent
Abu Dhabi,No,Yes,4,Very Good
Abu Dhabi,No,Yes,4,Very Good
Abu Dhabi,No,Yes,4,Very Good
Abu Dhabi,Yes,Yes,4.3,Very Good
Abu Dhabi,No,Yes,4,Very Good
Abu Dhabi,Yes,No,4.9,Excellent
Abu Dhabi,Yes,No,4.7,Excellent
Abu Dhabi,No,No,4.2,Very Good
Abu Dhabi,No,No,4.6,Excellent
Dubai,Yes,No,3.9,Good
Dubai,Yes,Yes,4.1,Very Good
Dubai,Yes,Yes,4.3,Very Good
Dubai,Yes,No,4.5,Excellent
Dubai,Yes,No,4.5,Excellent
Dubai,Yes,No,4.9,Excellent
Dubai,Yes,No,4.9,Excellent
Dubai,Yes,No,4.8,Excellent
Dubai,No,No,4.5,Excellent
Dubai,No,Yes,4.5,Excellent
Dubai,No,No,4.3,Very Good
Dubai,No,No,4.3,Very Good
Dubai,Yes,No,4.4,Very Good
Dubai,Yes,No,4.9,Excellent
Dubai,Yes,Yes,4.4,Very Good
Dubai,No,No,3.2,Average
Dubai,No,No,4.7,Excellent
Dubai,No,No,4.3,Very Good
Dubai,No,Yes,3.7,Good
Dubai,Yes,Yes,4.3,Very Good
Sharjah,No,Yes,3.9,Good
Sharjah,No,Yes,3.8,Good
Sharjah,No,Yes,4.1,Very Good
Sharjah,No,No,4.3,Very Good
Sharjah,No,Yes,3.9,Good
Sharjah,No,No,4.1,Very Good
Sharjah,No,Yes,4.1,Very Good
Sharjah,No,Yes,4.2,Very Good
Sharjah,No,Yes,4.1,Very Good
Sharjah,No,No,2.4,Poor
Sharjah,No,No,4.2,Very Good
Sharjah,No,No,4.2,Very Good
Sharjah,No,Yes,4.2,Very Good
Sharjah,No,Yes,3.8,Good
Sharjah,No,Yes,3.9,Good
Sharjah,No,No,4.8,Excellent
Sharjah,No,Yes,4.1,Very Good
Sharjah,No,No,4.5,Excellent
Sharjah,No,No,3.8,Good
Sharjah,No,No,4.2,Very Good
Agra,No,No,3.9,Good
Agra,No,No,3.5,Good
Agra,No,No,3.6,Good
Agra,No,No,4,Very Good
Agra,No,No,4.2,Very Good
Agra,No,No,4,Very Good
Agra,No,No,4.3,Very Good
Agra,No,No,4,Very Good
Agra,No,No,3.6,Good
Agra,No,No,3.8,Good
Agra,No,No,3.9,Good
Agra,No,No,4.1,Very Good
Agra,No,No,3.4,Average
Agra,No,No,4.9,Excellent
Agra,No,No,3.8,Good
Agra,No,No,3.9,Good
Agra,No,No,3.7,Good
Agra,No,No,4.4,Very Good
Agra,No,No,4.2,Very Good
Agra,No,No,4.1,Very Good
Ahmedabad,No,No,4.2,Very Good
Ahmedabad,No,No,3.7,Good
Ahmedabad,No,Yes,4.5,Excellent
Ahmedabad,No,No,4.1,Very Good
Ahmedabad,No,Yes,4.3,Very Good
Ahmedabad,No,Yes,4.4,Very Good
Ahmedabad,No,Yes,4.4,Very Good
Ahmedabad,No,Yes,3.8,Good
Ahmedabad,No,No,3.6,Good
Ahmedabad,No,No,4.6,Excellent
Ahmedabad,No,No,4.4,Very Good
Ahmedabad,No,No,4.3,Very Good
Ahmedabad,No,Yes,3.8,Good
Ahmedabad,No,Yes,4.3,Very Good
Ahmedabad,No,Yes,4,Very Good
Ahmedabad,No,Yes,4.4,Very Good
Ahmedabad,No,Yes,4.5,Excellent
Ahmedabad,No,No,4.1,Very Good
Ahmedabad,No,No,4.1,Very Good
Ahmedabad,No,Yes,3.9,Good
Ahmedabad,No,No,4,Very Good
Allahabad,No,No,3.4,Average
Allahabad,No,No,3.3,Average
Allahabad,No,No,3.2,Average
Allahabad,No,No,3.4,Average
Allahabad,No,No,3.4,Average
Allahabad,No,No,3.4,Average
Allahabad,No,No,3.4,Average
Allahabad,No,No,3.3,Average
Allahabad,No,No,3.2,Average
Allahabad,No,No,3.4,Average
Allahabad,No,No,3.4,Average
Allahabad,No,No,3.2,Average
Allahabad,No,No,3.3,Average
Allahabad,No,No,3.4,Average
Allahabad,No,No,3.6,Good
Allahabad,No,No,3.7,Good
Allahabad,No,No,3.5,Good
Allahabad,No,No,3.6,Good
Allahabad,No,No,3.5,Good
Allahabad,No,No,3.3,Average
Amritsar,No,No,3.4,Average
Amritsar,No,No,3.9,Good
Amritsar,No,No,4,Very Good
Amritsar,No,No,3.4,Average
Amritsar,No,No,3.6,Good
Amritsar,No,No,3.5,Good
Amritsar,No,No,3.4,Average
Amritsar,No,No,3.4,Average
Amritsar,No,No,3.5,Good
Amritsar,No,No,3.6,Good
Amritsar,No,No,3.9,Good
Amritsar,No,No,3.4,Average
Amritsar,No,No,3.7,Good
Amritsar,No,No,3.5,Good
Amritsar,No,No,3.8,Good
Amritsar,No,No,3.8,Good
Amritsar,No,No,4.1,Very Good
Amritsar,No,No,4.1,Very Good
Amritsar,No,No,3.8,Good
Amritsar,No,No,3.5,Good
Amritsar,No,No,4.1,Very Good
Aurangabad,No,No,3.6,Good
Aurangabad,No,No,3.3,Average
Aurangabad,No,No,3.3,Average
Aurangabad,No,No,3.1,Average
Aurangabad,No,No,3.4,Average
Aurangabad,No,No,3.4,Average
Aurangabad,No,No,3.4,Average
Aurangabad,No,No,3.3,Average
Aurangabad,No,No,3.4,Average
Aurangabad,No,No,3.6,Good
Aurangabad,No,No,3.5,Good
Aurangabad,No,No,3.3,Average
Aurangabad,No,No,3.3,Average
Aurangabad,No,No,3.4,Average
Aurangabad,No,No,3.7,Good
Aurangabad,No,No,3.2,Average
Aurangabad,No,No,3.4,Average
Aurangabad,No,No,3.3,Average
Aurangabad,No,No,3.3,Average
Aurangabad,No,No,3.3,Average
Bangalore,Yes,Yes,4.1,Very Good
Bangalore,Yes,Yes,4.7,Excellent
Bangalore,No,No,4.8,Excellent
Bangalore,Yes,No,3.9,Good
Bangalore,No,Yes,4.2,Very Good
Bangalore,No,No,4,Very Good
Bangalore,No,Yes,4.3,Very Good
Bangalore,No,No,4.6,Excellent
Bangalore,No,No,4.7,Excellent
Bangalore,No,Yes,4.7,Excellent
Bangalore,Yes,No,4.1,Very Good
Bangalore,No,Yes,4.3,Very Good
Bangalore,No,No,4.5,Excellent
Bangalore,No,No,4.6,Excellent
Bangalore,Yes,No,4.4,Very Good
Bangalore,No,No,4.6,Excellent
Bangalore,No,No,4.2,Very Good
Bangalore,Yes,Yes,4.5,Excellent
Bangalore,No,No,3.9,Good
Bangalore,No,No,4.4,Very Good
Bhopal,No,No,3.3,Average
Bhopal,No,No,3.4,Average
Bhopal,No,No,4.9,Excellent
Bhopal,No,No,3.9,Good
